"filename", "language", "Properties", "Groovy", "XML", "JSON", "Dart", "YAML", "Markdown", "HTML", "Swift", "C++", "comment", "blank", "total"
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\auth_bloc\auth_event.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 10, 27
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\auth_bloc\auth_state.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\login_bloc\login.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\login_bloc\login_bloc.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 4, 38
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\login_bloc\login_event.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\login_bloc\login_state.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 9, 25
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\register_bloc\register.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\register_bloc\register_bloc.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\register_bloc\register_event.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\register_bloc\register_state.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 30
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\reminder\reminder.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\reminder\reminder_bloc.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 5, 41
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\reminder\reminder_event.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\reminder\reminder_state.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\report\report.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\report\report_bloc.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\report\report_event.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\report\report_state.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\ticker\ticker.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\ticker\timer_bloc.dart", "Dart", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 12, 75
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\ticker\timer_event.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 9, 34
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\ticker\timer_state.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 11, 36
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout\workout.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout\workout_bloc.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout\workout_event.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout\workout_state.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 5, 19
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout_plan\workout_plan_bloc.dart", "Dart", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 2, 12, 116
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout_plan\workout_plan_event.dart", "Dart", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 11, 40
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout_plan\workout_plan_state.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 18, 50
